Date,Total
2024-03-21,0.0128
2024-03-22,0.0128
2024-03-23,0.0158
2024-03-24,0.0166
2024-03-25,0.019
2024-03-26,0.0196
2024-03-27,0.0201
2024-03-28,0.0218
2024-03-29,0.0226
2024-03-30,0.0226
2024-03-31,0.0229
2024-04-01,0.0229
2024-04-02,0.0235
2024-04-03,0.024
2024-04-04,0.025
2024-04-05,0.026
2024-04-06,0.0268
2024-04-07,0.0319
2024-04-08,0.0319
2024-04-09,0.0319
2024-04-10,0.0336
2024-04-11,0.0336
2024-04-12,0.0336
2024-04-13,0.0336
2024-04-14,0.0362
2024-04-15,0.0365
2024-04-16,0.0376
2024-04-17,0.0379
2024-04-18,0.0382
2024-04-19,0.0382
2024-04-20,0.0398
2024-04-21,0.0415
2024-04-22,0.0423
2024-04-23,0.044
2024-04-24,0.0453
2024-04-25,0.0464
2024-04-26,0.0475
2024-04-27,0.0481
2024-04-28,0.0492
2024-04-29,0.0511
2024-04-30,0.0511
2024-05-01,0.0513
2024-05-02,0.0517
2024-05-03,0.0523
2024-05-04,0.0523
2024-05-05,0.0534
2024-05-06,0.0561
2024-05-07,0.0567
2024-05-08,0.0573
2024-05-09,0.0573
2024-05-10,0.0578
2024-05-11,0.0581
2024-05-12,0.0598
2024-05-13,0.0601
2024-05-14,0.0623
2024-05-15,0.0628
2024-05-16,0.0636
2024-05-17,0.1022
2024-05-18,0.1028
2024-05-19,0.1039
2024-05-20,0.1042
2024-05-21,0.1051
2024-05-22,0.1065
2024-05-23,0.1079
2024-05-24,0.1101
2024-05-25,0.1107
2024-05-26,0.1126
2024-05-27,0.1129
2024-05-28,0.114
2024-05-29,0.1143
2024-05-30,0.1159
2024-05-31,0.1179
2024-06-01,0.1185
2024-06-02,0.1191
2024-06-03,0.1196
2024-06-04,0.1196
2024-06-05,0.1202
2024-06-06,0.1218
2024-06-07,0.1218
2024-06-08,0.1221
2024-06-09,0.1238
2024-06-10,0.1238
2024-06-11,0.1246
2024-06-12,0.1246
2024-06-13,0.126
2024-06-14,0.1284
2024-06-15,0.1289
2024-06-16,0.131
2024-06-17,0.1328
2024-06-18,0.1356
2024-06-19,0.137
2024-06-20,0.1378
2024-06-21,0.1388
2024-06-22,0.1405
2024-06-23,0.1411
2024-06-24,0.1424
2024-06-25,0.1463
2024-06-26,0.1468
2024-06-27,0.1485
2024-06-28,0.1517
2024-06-29,0.1547
2024-06-30,0.157
2024-07-01,0.1576
2024-07-02,0.1578
2024-07-03,0.1587
2024-07-04,0.1598
2024-07-05,0.1601
2024-07-06,0.1601
2024-07-07,0.1612
2024-07-08,0.1621
2024-07-09,0.1621
2024-07-10,0.1638
2024-07-11,0.1638
2024-07-12,0.1638
2024-07-13,0.1675
2024-07-14,0.1686
2024-07-15,0.1695
2024-07-16,0.1695
2024-07-17,0.1695
2024-07-18,0.17
2024-07-19,0.17
2024-07-20,0.1703
2024-07-21,0.1706
2024-07-22,0.1717
2024-07-23,0.172
2024-07-24,0.1725
2024-07-25,0.1749
2024-07-26,0.1752
2024-07-27,0.1752
2024-07-28,0.1752
2024-07-29,0.1752
2024-07-30,0.176
2024-07-31,0.1772
2024-08-01,0.1772
2024-08-02,0.1805
2024-08-03,0.1819
2024-08-04,0.1844
2024-08-05,0.1852
2024-08-06,0.1852
2024-08-07,0.1855
2024-08-08,0.186
2024-08-09,0.1866
2024-08-10,0.188
2024-08-11,0.1888
2024-08-12,0.189
2024-08-13,0.1904
2024-08-14,0.1926
2024-08-15,0.1957
2024-08-16,0.1968
2024-08-17,0.1971
2024-08-18,0.1982
2024-08-19,0.2162
2024-08-20,0.2184
2024-08-21,0.2213
2024-08-22,0.2224
2024-08-23,0.2241
2024-08-24,0.2244
2024-08-25,0.2252
2024-08-26,0.2257
2024-08-27,0.2263
2024-08-28,0.2274
2024-08-29,0.2274
2024-08-30,0.2286
2024-08-31,0.2294
2024-09-01,0.2305
2024-09-02,0.2305
2024-09-03,0.2311
2024-09-04,0.2319
2024-09-05,0.233
2024-09-06,0.233
2024-09-07,0.233
2024-09-08,0.2338
2024-09-09,0.2344
2024-09-10,0.2351
2024-09-11,0.2368
2024-09-12,0.2376
2024-09-13,0.2376
2024-09-14,0.2381
2024-09-15,0.2381
2024-09-16,0.2381
2024-09-17,0.2381
2024-09-18,0.2381
2024-09-19,0.239
2024-09-20,0.2395
2024-09-21,0.2395
2024-09-22,0.2414
2024-09-23,0.2417
2024-09-24,0.2433
2024-09-25,0.2433
2024-09-26,0.245
2024-09-27,0.245
2024-09-28,0.2463
2024-09-29,0.2463
2024-09-30,0.2471
2024-10-01,0.2496
2024-10-02,0.2556
2024-10-03,0.2565
2024-10-04,0.2575
2024-10-05,0.26
2024-10-06,0.2616
2024-10-07,0.2619
2024-10-08,0.2635
2024-10-09,0.2644
2024-10-10,0.266
2024-10-11,0.266
2024-10-12,0.266
2024-10-13,0.2663
2024-10-14,0.2671
2024-10-15,0.2674
2024-10-16,0.2674
2024-10-17,0.2685
2024-10-18,0.2696
2024-10-19,0.2718
2024-10-20,0.2721
2024-10-21,0.2726
2024-10-22,0.2734
2024-10-23,0.2756
2024-10-24,0.2778
2024-10-25,0.279
2024-10-26,0.2798
2024-10-27,0.2801
2024-10-28,0.2806
2024-10-29,0.284
